Date,EWP
2020-12-31,23.051692962646484
2021-01-31,22.57486915588379
2021-02-28,23.451143264770508
2021-03-31,23.763477325439453
2021-04-30,25.090898513793945
2021-05-31,26.669925689697266
2021-06-30,24.65709686279297
2021-07-31,24.445335388183594
2021-08-31,24.73572540283203
2021-09-30,23.732568740844727
2021-10-31,24.87651824951172
2021-11-30,22.33342742919922
2021-12-31,23.116596221923828
2022-01-31,23.61673927307129
2022-02-28,22.90053939819336
2022-03-31,22.793107986450195
2022-04-30,21.996334075927734
2022-05-31,23.50035858154297
2022-06-30,20.87727165222168
2022-07-31,20.835296630859375
2022-08-31,19.772640228271484
2022-09-30,18.001550674438477
2022-10-31,19.908878326416016
2022-11-30,22.261247634887695
2022-12-31,21.961528778076172
2023-01-31,24.81810188293457
2023-02-28,25.279233932495117
2023-03-31,25.703474044799805
2023-04-30,26.349058151245117
2023-05-31,24.91955184936523
2023-06-30,26.653404235839844
2023-07-31,27.40545654296875
2023-08-31,26.602163314819336
2023-09-30,25.686779022216797
2023-10-31,24.99557113647461
2023-11-30,28.507654190063477
2023-12-31,28.60106086730957
2024-01-31,28.022762298583984
2024-02-29,27.75714111328125
2024-03-31,30.517677307128903
2024-04-30,29.67339134216309
2024-05-31,31.931150436401367
2024-06-30,29.625959396362305
2024-07-31,31.27699851989746
2024-08-31,32.67501449584961
2024-09-30,34.02482604980469
2024-10-31,32.70393753051758
2024-11-30,31.556602478027344
2024-12-31,29.936832427978516
2025-01-31,32.620819091796875
2025-02-28,35.676239013671875
2025-03-31,37.63407897949219
2025-04-30,40.145652770996094
2025-05-31,42.8055534362793
2025-06-30,43.53726959228515
2025-07-31,44.720001220703125
2025-08-31,47.709999084472656
2025-09-30,49.5
2025-10-31,50.16999816894531
2025-11-30,51.65999984741211
