Date,EWU
2020-12-31,24.226665496826172
2021-01-31,24.445093154907227
2021-02-28,25.40717315673828
2021-03-31,26.19356155395508
2021-04-30,27.21419906616211
2021-05-31,28.268299102783203
2021-06-30,27.356416702270508
2021-07-31,27.89679718017578
2021-08-31,28.083967208862305
2021-09-30,27.437379837036133
2021-10-31,28.65398406982422
2021-11-30,27.258716583251953
2021-12-31,28.194564819335938
2022-01-31,29.61742401123047
2022-02-28,29.267860412597656
2022-03-31,29.398944854736328
2022-04-30,28.227882385253903
2022-05-31,28.988197326660156
2022-06-30,26.18288803100586
2022-07-31,27.498186111450195
2022-08-31,25.71894264221191
2022-09-30,23.316965103149418
2022-10-31,24.94497299194336
2022-11-30,28.04975128173828
2022-12-31,27.275779724121097
2023-01-31,29.41354751586914
2023-02-28,29.151649475097656
2023-03-31,29.13358688354492
2023-04-30,30.641748428344727
2023-05-31,28.8084774017334
2023-06-30,29.214866638183594
2023-07-31,30.656644821166992
2023-08-31,29.45984268188477
2023-09-30,29.12841796875
2023-10-31,28.07891082763672
2023-11-30,29.81888198852539
2023-12-31,30.426488876342773
2024-01-31,30.537879943847656
2024-02-29,30.839208602905273
2024-03-31,32.21402359008789
2024-04-30,32.675437927246094
2024-05-31,34.2009162902832
2024-06-30,32.844932556152344
2024-07-31,34.80436325073242
2024-08-31,36.02338409423828
2024-09-30,35.908199310302734
2024-10-31,34.122867584228516
2024-11-30,34.362831115722656
2024-12-31,32.53910827636719
2025-01-31,34.8955078125
2025-02-28,36.296817779541016
2025-03-31,36.71818923950195
2025-04-30,37.335548400878906
2025-05-31,39.1190299987793
2025-06-30,38.92304611206055
2025-07-31,39.810001373291016
2025-08-31,41.459999084472656
2025-09-30,41.970001220703125
2025-10-31,42.66999816894531
2025-11-30,43.150001525878906
