Date,EWG
2020-12-31,27.74009895324707
2021-01-31,27.81781768798828
2021-02-28,28.304141998291016
2021-03-31,29.568588256835938
2021-04-30,30.611980438232425
2021-05-31,31.637683868408203
2021-06-30,30.59429359436035
2021-07-31,31.04206657409668
2021-08-31,31.42874336242676
2021-09-30,29.603269577026367
2021-10-31,30.36763572692871
2021-11-30,28.60510635375977
2021-12-31,29.47737693786621
2022-01-31,29.033220291137695
2022-02-28,26.37569999694824
2022-03-31,25.74986457824707
2022-04-30,23.5911922454834
2022-05-31,24.78843879699707
2022-06-30,20.870182037353516
2022-07-31,22.029321670532227
2022-08-31,20.403749465942383
2022-09-30,18.44184684753418
2022-10-31,20.38506507873535
2022-11-30,23.720291137695312
2022-12-31,23.103696823120117
2023-01-31,26.20534896850586
2023-02-28,25.504423141479492
2023-03-31,26.59786605834961
2023-04-30,27.48571014404297
2023-05-31,26.149272918701172
2023-06-30,26.70067024230957
2023-07-31,28.15104103088379
2023-08-31,26.80685806274414
2023-09-30,25.15543556213379
2023-10-31,24.17609977722168
2023-11-30,27.27732276916504
2023-12-31,28.50629234313965
2024-01-31,27.91289520263672
2024-02-29,29.42040252685547
2024-03-31,30.48621940612793
2024-04-30,29.247568130493164
2024-05-31,30.78388214111328
2024-06-30,29.401199340820312
2024-07-31,30.601119995117188
2024-08-31,32.096256256103516
2024-09-30,33.28646469116211
2024-10-31,31.79132652282715
2024-11-30,31.742143630981445
2024-12-31,31.29950523376465
2025-01-31,34.063541412353516
2025-02-28,35.479984283447266
2025-03-31,36.47346496582031
2025-04-30,38.84404373168945
2025-05-31,41.283477783203125
2025-06-30,41.617916107177734
2025-07-31,41.150001525878906
2025-08-31,41.880001068115234
2025-09-30,41.61000061035156
2025-10-31,40.72999954223633
2025-11-30,40.91999816894531
