Date,EWD
2020-12-31,34.00995635986328
2021-01-31,35.031978607177734
2021-02-28,36.17704391479492
2021-03-31,38.36384963989258
2021-04-30,39.96520233154297
2021-05-31,41.73015975952149
2021-06-30,39.947994232177734
2021-07-31,42.65110778808594
2021-08-31,42.2105827331543
2021-09-30,39.51460647583008
2021-10-31,42.2105827331543
2021-11-30,39.69963073730469
2021-12-31,40.818546295166016
2022-01-31,38.34724044799805
2022-02-28,34.358985900878906
2022-03-31,35.29472351074219
2022-04-30,32.62377166748047
2022-05-31,33.15977096557617
2022-06-30,27.663433074951172
2022-07-31,31.762956619262695
2022-08-31,28.092613220214844
2022-09-30,25.4495906829834
2022-10-31,27.513574600219727
2022-11-30,31.277313232421875
2022-12-31,30.19395637512207
2023-01-31,32.83205032348633
2023-02-28,33.17962646484375
2023-03-31,33.38629913330078
2023-04-30,34.95509338378906
2023-05-31,32.25901794433594
2023-06-30,33.273563385009766
2023-07-31,33.592960357666016
2023-08-31,31.30082893371582
2023-09-30,30.9720401763916
2023-10-31,29.55354118347168
2023-11-30,33.82781219482422
2023-12-31,37.07814025878906
2024-01-31,35.93465042114258
2024-02-29,38.051849365234375
2024-03-31,38.45603942871094
2024-04-30,36.94512939453125
2024-05-31,40.35189437866211
2024-06-30,38.73512649536133
2024-07-31,39.600791931152344
2024-08-31,41.23371124267578
2024-09-30,42.44618225097656
2024-10-31,39.033668518066406
2024-11-30,37.80164337158203
2024-12-31,36.50117492675781
2025-01-31,39.972354888916016
2025-02-28,42.18217468261719
2025-03-31,41.145713806152344
2025-04-30,42.67107391357422
2025-05-31,44.44089126586914
2025-06-30,44.72445297241211
2025-07-31,43.86000061035156
2025-08-31,46.38999938964844
2025-09-30,47.20000076293945
2025-10-31,47.9900016784668
2025-11-30,47.90999984741211
